Airspace_Type,Polygon_ID,Vertex_Index,X,Y,Area,Perimeter
restricted_airspace,14,10,1914,1633,1195.0,424.81832242012024
restricted_airspace,14,11,1805,1589,1195.0,424.81832242012024
restricted_airspace,15,1,930,1358,1111.5,264.8944420814514
restricted_airspace,15,2,918,1382,1111.5,264.8944420814514
restricted_airspace,15,3,913,1382,1111.5,264.8944420814514
restricted_airspace,15,4,912,1378,1111.5,264.8944420814514
restricted_airspace,15,5,919,1369,1111.5,264.8944420814514
restricted_airspace,15,6,919,1361,1111.5,264.8944420814514
restricted_airspace,15,7,914,1361,1111.5,264.8944420814514
restricted_airspace,15,8,908,1369,1111.5,264.8944420814514
restricted_airspace,15,9,910,1374,1111.5,264.8944420814514
restricted_airspace,15,10,902,1386,1111.5,264.8944420814514
restricted_airspace,15,11,902,1395,1111.5,264.8944420814514
restricted_airspace,15,12,894,1404,1111.5,264.8944420814514
restricted_airspace,15,13,898,1414,1111.5,264.8944420814514
restricted_airspace,15,14,892,1426,1111.5,264.8944420814514
restricted_airspace,15,15,898,1436,1111.5,264.8944420814514
restricted_airspace,15,16,905,1434,1111.5,264.8944420814514
restricted_airspace,15,17,908,1418,1111.5,264.8944420814514
restricted_airspace,15,18,931,1368,1111.5,264.8944420814514
restricted_airspace,16,1,2472,1291,1848.0,257.2792184352875
restricted_airspace,16,2,2442,1289,1848.0,257.2792184352875
restricted_airspace,16,3,2423,1292,1848.0,257.2792184352875
restricted_airspace,16,4,2412,1329,1848.0,257.2792184352875
restricted_airspace,16,5,2419,1325,1848.0,257.2792184352875
restricted_airspace,16,6,2431,1330,1848.0,257.2792184352875
restricted_airspace,16,7,2444,1328,1848.0,257.2792184352875
restricted_airspace,16,8,2450,1322,1848.0,257.2792184352875
restricted_airspace,16,9,2457,1329,1848.0,257.2792184352875
restricted_airspace,16,10,2465,1330,1848.0,257.2792184352875
restricted_airspace,16,11,2468,1324,1848.0,257.2792184352875
restricted_airspace,16,12,2461,1324,1848.0,257.2792184352875
restricted_airspace,16,13,2458,1319,1848.0,257.2792184352875
restricted_airspace,16,14,2467,1317,1848.0,257.2792184352875
restricted_airspace,16,15,2465,1311,1848.0,257.2792184352875
restricted_airspace,16,16,2472,1308,1848.0,257.2792184352875
restricted_airspace,16,17,2471,1300,1848.0,257.2792184352875
restricted_airspace,16,18,2464,1298,1848.0,257.2792184352875
restricted_airspace,17,1,2946,767,1036.5,416.91882705688477
restricted_airspace,17,2,2916,786,1036.5,416.91882705688477
restricted_airspace,17,3,2893,825,1036.5,416.91882705688477
restricted_airspace,17,4,2893,874,1036.5,416.91882705688477
restricted_airspace,17,5,2915,911,1036.5,416.91882705688477
restricted_airspace,17,6,2917,903,1036.5,416.91882705688477
restricted_airspace,17,7,2895,870,1036.5,416.91882705688477
restricted_airspace,17,8,2900,842,1036.5,416.91882705688477
restricted_airspace,17,9,2893,837,1036.5,416.91882705688477
restricted_airspace,17,10,2907,825,1036.5,416.91882705688477
